Date,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,macd_buy,macd_sell,ema_buy,ema_sell,rsi_buy,rsi_sell,volume_buy,volume_sell,scores
2012-10-19,2012-10-19,316.27146344369123,318.4699375773137,312.5687857716306,314.3044128417969,3247650,316.55528142984105,312.30317674192764,52.278580117848804,3.884378336149382,4.442073088758461,-0.5576947526090787,0,0,0,0,0,1,1,0,0,0,0,0,13.062718642830736
2012-10-22,2012-10-22,312.56878430467555,316.5800266668813,310.9488442990788,314.61297607421875,2355719,315.90784631130026,312.474272988764,52.57944703564698,3.4710391656424804,4.247866304135265,-0.7768271384927843,0,0,0,0,0,1,1,0,0,0,0,0,12.708479095220492
2012-10-23,2012-10-23,311.6431506398098,316.1943817622551,311.37315648975624,311.9516906738281,1767260,314.58912776547623,312.4355631876577,49.670779934824566,2.8953456620444626,3.9773621757171043,-1.0820165136726416,0,0,0,0,0,1,1,0,0,0,0,0,12.805652730146994
2012-10-25,2012-10-25,312.4916369581253,313.8030122303083,306.9375958768595,307.6318664550781,4609031,312.2700406620102,312.07973380005916,45.29102821792485,2.0667069889315712,3.5952311383599977,-1.5285241494284265,0,0,0,0,0,1,1,0,0,0,0,1,11.537101820097996
2012-10-29,2012-10-29,309.3289278527074,311.87453726251374,307.8632702063193,310.1388854980469,1972029,311.55965560735575,311.9359672591694,48.14852573900667,1.593926561983892,3.1949702230847765,-1.6010436611008845,0,0,0,1,0,1,0,1,0,0,0,0,11.024734546731997
2012-10-30,2012-10-30,310.13891418865694,311.4117190113059,302.7721041047183,303.1963806152344,2233247,308.77189727664864,311.28859047072973,41.6594339311751,0.6515320879744877,2.6862825960627186,-2.034750508088231,0,0,0,0,0,1,0,1,0,0,0,0,9.016489697821331
2012-10-31,2012-10-31,303.9291352117524,305.20193977500685,299.7636109748427,302.5406188964844,4017202,306.69480448326055,310.6405925763412,41.09603579557391,-0.14654750413234297,2.1197165760237064,-2.2662640801560494,0,0,0,0,0,1,0,1,0,0,0,1,7.6776597985475545
2012-11-01,2012-11-01,303.1577764500019,308.4803939934328,302.3863646981303,306.5904846191406,2600995,306.6600311952206,310.3405845795115,45.95698268961447,-0.44708726931315823,1.6063558069563335,-2.0534430762694917,0,0,0,0,0,1,0,1,0,0,0,0,6.785106532365037
2012-11-02,2012-11-02,308.8660721006177,311.60453437483943,307.4004392043745,310.37030029296875,2703525,307.89678756113665,310.3427857434713,50.096256529690784,-0.37593412823133576,1.2098978199187997,-1.5858319481501355,0,0,0,0,0,1,0,1,0,0,0,0,6.190071021576692
2012-11-05,2012-11-05,307.86327333966176,308.3646909926257,305.086265080707,306.7447509765625,1794172,307.5127753662786,310.0762646496262,46.42335744815952,-0.6051208249519959,0.8468940909446405,-1.4520149158966364,0,0,0,0,0,1,0,1,0,0,0,0,4.126714014384461
